Route stop,Business,Address,Latitude,Longitude,Straight-line miles from San Carlos,OSRM road miles from San Carlos,OSRM drive minutes from San Carlos,Within 90 minute drive,OSRM query,Audit status
282,Jarin Thia Cuisine,"Ellis Street, San Francisco, California, 94102 (reverse-geocoded approximate)",37.7839089,-122.4196454,21.0,24.5,34.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4196454,37.7839089?overview=false&steps=false&alternatives=false",OK
283,Pronto Pizza & Espresso,"798 Eddy Street, San Francisco",37.7830769,-122.4203496,21.0,24.8,34.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4203496,37.7830769?overview=false&steps=false&alternatives=false",OK
284,Cafe 450 Eurest Dining,"450 Golden Gate Avenue, San Francisco, CA, 94102",37.7817167,-122.4186499,20.8,24.3,34.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4186499,37.7817167?overview=false&steps=false&alternatives=false",OK
285,Larkin Restaurant,"607 Larkin Street, San Francisco, CA",37.7834857,-122.4177166,20.9,24.3,34.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4177166,37.7834857?overview=false&steps=false&alternatives=false",OK
286,Mộng Thu,248 Hyde Street,37.7832537,-122.415712,20.9,24.5,34.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.415712,37.7832537?overview=false&steps=false&alternatives=false",OK
287,Mayfair Beauty Salon,"333;335 Hyde Street, San Francisco, California, 94102 (reverse-geocoded approximate)",37.7839579,-122.4161227,20.9,24.5,34.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4161227,37.7839579?overview=false&steps=false&alternatives=false",OK
288,Mom Banh Mi,"411 Ellis Street, San Francisco, CA",37.7847337,-122.4130515,20.9,25.0,34.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4130515,37.7847337?overview=false&steps=false&alternatives=false",OK
289,Cafecito,"406 Ellis Street, San Francisco, CA, 94102",37.784952,-122.4130574,20.9,25.0,34.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4130574,37.784952?overview=false&steps=false&alternatives=false",OK
290,Pho Tan Hoa,431;435 Jones Street,37.7853512,-122.4130435,21.0,24.6,34.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4130435,37.7853512?overview=false&steps=false&alternatives=false",OK
291,El Rincon Yucateco,"491 O'Farrell Street, San Francisco, CA",37.7857275,-122.4127692,21.0,24.6,34.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4127692,37.7857275?overview=false&steps=false&alternatives=false",OK
