Route stop,Business,Profile image URL,Profile image source,HTTP status,Final URL,Content type,Fetched bytes,Fetch milliseconds,Error
768,Doan's Hair & Spa,https://s3-media0.fl.yelpcdn.com/bphoto/aO7scjUeS3lijnB2lnNgZg/l.jpg,https://www.yelp.com/biz/doans-hair-and-spa-fremont-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/aO7scjUeS3lijnB2lnNgZg/l.jpg,image/jpeg,0,61,
770,Top Hair Cut & Salon,https://s3-media0.fl.yelpcdn.com/bphoto/07hgadD9fgvy4NVx4dlOKA/o.jpg,https://www.yelp.com/biz/top-hair-cut-fremont?start=20,200,https://s3-media0.fl.yelpcdn.com/bphoto/07hgadD9fgvy4NVx4dlOKA/o.jpg,image/jpeg,0,61,
776,CT Nails & Spa,https://s3-media0.fl.yelpcdn.com/bphoto/UpRWmGV1jBh3CBHysvYxJA/348s.jpg,https://www.yelp.com/biz/ct-nails-and-spa-fremont-3,200,https://s3-media0.fl.yelpcdn.com/bphoto/UpRWmGV1jBh3CBHysvYxJA/348s.jpg,image/jpeg,0,64,
782,Sean's Barber Shop,https://s3-media0.fl.yelpcdn.com/bphoto/Y590lVGCejtqhe6hBdijfA/348s.jpg,https://www.yelp.com/biz/seans-barber-shop-fremont,200,https://s3-media0.fl.yelpcdn.com/bphoto/Y590lVGCejtqhe6hBdijfA/348s.jpg,image/jpeg,0,59,
783,Little Taipei Café,https://s3-media0.fl.yelpcdn.com/bphoto/ZDaJzMTjqGd6KPOv53jVZQ/348s.jpg,https://www.yelp.com/biz/little-taipei-cafe-fremont,200,https://s3-media0.fl.yelpcdn.com/bphoto/ZDaJzMTjqGd6KPOv53jVZQ/348s.jpg,image/jpeg,0,59,
787,Shing's Hair Studio,https://s3-media0.fl.yelpcdn.com/bphoto/LeVDHZKCZvicGLiENHKNjw/348s.jpg,https://www.yelp.com/biz/shings-hair-studio-milpitas,200,https://s3-media0.fl.yelpcdn.com/bphoto/LeVDHZKCZvicGLiENHKNjw/348s.jpg,image/jpeg,0,61,
788,Gao's Kabob & Crab,https://s3-media0.fl.yelpcdn.com/bphoto/VuJUuEwY-zcp4iJMNJMWTg/348s.jpg,https://www.yelp.com/biz/gaos-kabob-and-crab-milpitas-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/VuJUuEwY-zcp4iJMNJMWTg/348s.jpg,image/jpeg,0,58,
789,Chick & Tea,https://s3-media0.fl.yelpcdn.com/bphoto/GdVxsbY89hjTXKKFs9PFXg/348s.jpg,https://www.yelp.com/biz/chick-and-tea-taiwanese-soul-food-milpitas,200,https://s3-media0.fl.yelpcdn.com/bphoto/GdVxsbY89hjTXKKFs9PFXg/348s.jpg,image/jpeg,0,64,
790,Bliss Beauty & Spa,https://s3-media0.fl.yelpcdn.com/bphoto/iwspue_xdvVImDFSGxB4rg/300s.jpg,https://www.yelp.com/biz/bliss-beauty-and-spa-milpitas-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/iwspue_xdvVImDFSGxB4rg/300s.jpg,image/jpeg,0,55,
792,Loved And Lashed,https://images.fresha.com/locations/location-profile-images/478950/4138623/67949bf2-5c81-454c-bafe-8b0c895531dd.jpg?class=fallback,https://www.fresha.com/a/loved-and-lashed-milpitas-1468-north-milpitas-boulevard-o482na3t,200,https://images.fresha.com/locations/location-profile-images/478950/4138623/67949bf2-5c81-454c-bafe-8b0c895531dd.jpg?class=fallback,image/jpeg,0,57,
795,The Pizza Box,https://s3-media0.fl.yelpcdn.com/bphoto/c0kUCb48KXx5r3jVZXnYOQ/348s.jpg,https://www.yelp.com/biz/the-pizza-box-milpitas,200,https://s3-media0.fl.yelpcdn.com/bphoto/c0kUCb48KXx5r3jVZXnYOQ/348s.jpg,image/jpeg,0,54,
799,Christy's Donuts,https://s3-media0.fl.yelpcdn.com/bphoto/Sq3D079GQwzpc3ScdvjYuA/348s.jpg,https://www.yelp.com/biz/christys-donuts-milpitas,200,https://s3-media0.fl.yelpcdn.com/bphoto/Sq3D079GQwzpc3ScdvjYuA/348s.jpg,image/jpeg,0,60,
801,BBH Noodle,https://s3-media0.fl.yelpcdn.com/bphoto/v71DM4iT5lV2LFrcOuUuXg/258s.jpg,https://www.yelp.com/biz/bbh-noodle-milpitas,200,https://s3-media0.fl.yelpcdn.com/bphoto/v71DM4iT5lV2LFrcOuUuXg/258s.jpg,image/jpeg,0,64,
802,Calaveras Family Dentistry,https://s3-media0.fl.yelpcdn.com/bphoto/uTMWVsl2CB_cmF_oOhebVw/l.jpg,https://www.yelp.com/biz/calaveras-family-dentistry-and-modern-orthodontics-milpitas-2?start=10,200,https://s3-media0.fl.yelpcdn.com/bphoto/uTMWVsl2CB_cmF_oOhebVw/l.jpg,image/jpeg,0,58,
806,Modern Image,https://s3-media0.fl.yelpcdn.com/bphoto/nPEPmsayLs5PjUt-1CYbug/o.jpg,https://www.yelp.com/biz/modern-image-milpitas,200,https://s3-media0.fl.yelpcdn.com/bphoto/nPEPmsayLs5PjUt-1CYbug/o.jpg,image/jpeg,0,62,
808,Luu New Tung Kee Noodle,https://s3-media0.fl.yelpcdn.com/bphoto/sT6tD4Qyi02kBlQ3__WauA/348s.jpg,https://www.yelp.com/biz/luu-new-tung-kee-noodle-milpitas-3,200,https://s3-media0.fl.yelpcdn.com/bphoto/sT6tD4Qyi02kBlQ3__WauA/348s.jpg,image/jpeg,0,62,
811,Donut Basket,https://s3-media0.fl.yelpcdn.com/bphoto/6LO8H5H9gn4Gtlfza5qWag/o.jpg,https://www.yelp.com/biz/donut-basket-milpitas-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/6LO8H5H9gn4Gtlfza5qWag/o.jpg,image/jpeg,0,67,
