Route stop,Business,Profile link,HTTP status,Final URL,Content type,Reachable/host responded,Fetched bytes,Fetch milliseconds,Error
572,the garret,https://www.yelp.com/biz/the-garret-of-campbell-campbell,403,https://www.yelp.com/biz/the-garret-of-campbell-campbell,text/html;charset=utf-8,YES,0,64,
573,Serendipity Hair Salon,https://www.yelp.com/biz/serendipity-full-service-salon-campbell,403,https://www.yelp.com/biz/serendipity-full-service-salon-campbell,text/html;charset=utf-8,YES,0,52,
574,Happy Hair Salon,https://www.yelp.com/biz/happy-hair-salon-campbell,403,https://www.yelp.com/biz/happy-hair-salon-campbell,text/html;charset=utf-8,YES,0,55,
575,Mo's,https://booking.toasttab.com/restaurants/5d5f4676-c6b4-40a6-9d34-d224cc52c64f/findTime,200,https://tables.toasttab.com/restaurants/5d5f4676-c6b4-40a6-9d34-d224cc52c64f/findTime,text/html; charset=utf-8,YES,0,855,
576,Krupps Upholstery,https://www.yelp.com/biz/krupps-upholstery-campbell,403,https://www.yelp.com/biz/krupps-upholstery-campbell,text/html;charset=utf-8,YES,0,88,
577,JCM Electric,https://www.yelp.com/biz/jcm-electric-campbell,403,https://www.yelp.com/biz/jcm-electric-campbell,text/html;charset=utf-8,YES,0,76,
578,Kaizen,https://www.yelp.com/biz/kaizen-japanese-bar-and-grill-campbell,403,https://www.yelp.com/biz/kaizen-japanese-bar-and-grill-campbell,text/html;charset=utf-8,YES,0,75,
579,Spa City,https://www.yelp.com/biz/spa-city-campbell-5,403,https://www.yelp.com/biz/spa-city-campbell-5,text/html;charset=utf-8,YES,0,86,
580,Excel Cuts & Nailcare,https://www.yelp.com/biz/excelcuts-and-nailcare-san-jose-3?start=20,403,https://www.yelp.com/biz/excelcuts-and-nailcare-san-jose-3?start=20,text/html;charset=utf-8,YES,0,93,
582,BYLT,https://www.yelp.com/biz/bylt-premium-basics-san-jose,403,https://www.yelp.com/biz/bylt-premium-basics-san-jose,text/html;charset=utf-8,YES,0,69,
583,Dumpling Time,https://www.yelp.com/biz/dumpling-time-san-jose,403,https://www.yelp.com/biz/dumpling-time-san-jose,text/html;charset=utf-8,YES,0,66,
584,D&J Auto Center,https://www.yelp.com/biz/m-auto-center-west-san-jose,403,https://www.yelp.com/biz/m-auto-center-west-san-jose,text/html;charset=utf-8,YES,0,67,
585,Venice Nail Salon,https://www.yelp.com/biz/venice-nail-salon-san-jose,403,https://www.yelp.com/biz/venice-nail-salon-san-jose,text/html;charset=utf-8,YES,0,62,
587,Auzerais Collision Center,https://www.yelp.com/biz/auzerais-collision-center-san-jose,403,https://www.yelp.com/biz/auzerais-collision-center-san-jose,text/html;charset=utf-8,YES,0,66,
